"","s.intensity.1","s.intensity.2","s.intensity.3","s.intensity.4"
"1",0.952365945404291,-0.73510468006134,1.76356252055077,1.87726593473092
"2",0.947659497084164,-0.735996419077343,1.76367774523435,1.86910549567442
"3",0.949885781032642,-0.73717933013234,1.76232290392039,1.8715701774361
"4",0.946887422358572,-0.737205982208252,1.76061992560822,1.8761670764434
"5",0.936145922020664,-0.744191153656846,1.75976158244502,1.88492603429983
"6",0.929525364168667,-0.745114944176085,1.75730442979761,1.93854395936304
"7",0.934496874630589,-0.747184938377921,1.75528503383639,1.8994325442387
"8",0.940026846914514,-0.74997705121459,1.75315782738497,1.94600652962378
"9",0.934604542017605,-0.746500627321048,1.75613155820311,1.94294766078518
"10",0.930854756109694,-0.749813675880432,1.75314634095604,1.89960397164257
"11",0.92517213838769,-0.749813675880432,1.75054485095623,1.90427593737291
"12",0.948792338349993,-0.748430127639176,1.75149238368655,1.91278480462971
"13",0.950227141741367,-0.744877657432307,1.75167106479059,1.91744654597136
"14",0.948351922097746,-0.742988571389155,1.75195049126314,1.92174847019326
"15",0.944979611149498,-0.748894315800854,1.75229203750075,1.9304696632571
"16",0.940799570697803,-0.749188458373879,1.75319550536577,1.95112477664428
"17",0.922637137138872,-0.750008842302269,1.74729316850574,1.90509941303633
"18",0.934798685928306,-0.739716445151665,1.75689878305522,1.97698961794762
"19",0.948907583621187,-0.748812269243047,1.74933000920334,1.94435870326171
"20",0.921082001476268,-0.749897339410325,1.7450700140622,1.90269472489703
"21",0.941194770240542,-0.74291775858674,1.75623478549244,1.96830857573487
"22",0.958165845375395,-0.749494609570915,1.74486056738964,1.9433875898808
"23",0.946537753896058,-0.745597937242867,1.75643696439711,1.95807270342697
"24",0.955193856663107,-0.744249739556311,1.7545692590855,1.94081987687534
"25",0.966131692199418,-0.742846494895225,1.755212585999,1.92276326317207
"26",1.02946279923196,-0.737903135303029,1.73922610457553,1.91188163136984
"27",1.03232913901576,-0.737091119038581,1.73437397985061,1.92060495581948
"28",1.04202947664881,-0.735392098151817,1.72949548194113,1.92000488586929
"29",1.03700094351165,-0.739810564561004,1.72606091744455,1.92672750341135
"30",1.0285374452623,-0.744865472472,1.72493479547464,1.93185016438513
"31",1.02224832325438,-0.747695431682651,1.72565817821699,1.92770595372657
"32",1.02261103019005,-0.745626425715472,1.72508361986499,1.93858714814549
"33",1.02781155045075,-0.745973377841069,1.72253206508154,1.94423174215671
"34",1.0394182496404,-0.744092050920284,1.72052260205649,1.93938406839086
"35",0.940550657666648,-0.760995892266208,1.74316622263364,1.9093376130609
"36",0.932171269351306,-0.761182821997924,1.74231298067772,1.92109088956547
"37",1.02447674562786,-0.747498944134003,1.72656081965509,1.92111370072556
"38",0.932217172683084,-0.765094726514987,1.74024187089001,1.93816976350398
"39",0.926317777473921,-0.765087092369506,1.73885276607215,1.94257923076609
"40",0.977258888684816,-0.759691884153243,1.74016656413913,1.89978383732236
"41",0.956259534907515,-0.760006058109716,1.74252262947427,1.90622576658192
"42",1.01860225913413,-0.747086449175669,1.72428568222514,1.94161293370438
"43",1.009522715106,-0.747437636723912,1.7270191689833,1.94400417658109
"44",1.01698551816697,-0.747791506416024,1.72634892672234,1.92946996195355
"45",0.950030317645873,-0.760356147917704,1.74099984028187,1.92557369336998
"46",0.939948669649211,-0.763004789293323,1.7411386855628,1.93378992506736
"47",0.981378309447963,-0.759089671649287,1.73691344672276,1.91269687912609
"48",0.929259314375668,-0.764851682680736,1.73700457381107,1.95904122370513
"49",0.990114095204657,-0.758001571910145,1.7339820749537,1.93087350412351
"50",1.01028577171915,-0.750111996947476,1.72913896807794,1.93013860849863
"51",0.968591624187335,-0.760692031908119,1.73922835424136,1.92105649446857
"52",0.930702072066181,-0.76277226607841,1.7375708746017,1.96694061339149
"53",0.932702020893061,-0.764444918476956,1.73738636123648,1.98216225291904
"54",0.934686932818453,-0.761053019278779,1.73717575784238,1.99150449893024
"55",0.938425641388888,-0.75857740169165,1.73708432086656,1.9887507435242
"56",0.939869273942451,-0.760320127010345,1.73539131103173,1.98708980307166
"57",0.933360727298355,-0.765301238606309,1.73744859206293,1.9907429949868
"58",0.935202456733262,-0.762951474828541,1.73720570503986,1.98569366170673
"59",0.941805102684232,-0.760999591553721,1.73466669762927,1.98895422723938
"60",0.943343048561984,-0.76089326215694,1.73547970984584,1.98786642124328
