"name","longitude","latitude","prov","date","key"
"Canis latrans",-122.453276,37.778832,"gbif",2018-01-25,1806359988
"Canis latrans",-112.162857,41.464084,"gbif",2018-01-20,1806339416
"Canis latrans",-111.679628,35.146825,"gbif",2018-01-12,1805390686
"Canis latrans",-72.54305,42.327972,"gbif",2018-01-31,1831191545
"Canis latrans",-122.508481,37.841728,"gbif",2018-01-02,1802766611
"Canis latrans",-116.95075,33.03814,"gbif",2018-01-04,1802774272
"Canis latrans",-72.522453,42.330556,"gbif",2018-01-11,1836699224
"Canis latrans",-99.278558,34.068809,"gbif",2018-01-21,1836645372
"Canis latrans",-75.655416,45.627757,"gbif",2018-01-26,1880484200
"Canis latrans",-120.850638,37.26672,"gbif",2018-01-15,1806347381
"Canis latrans",-114.219247,36.733433,"gbif",2018-01-17,1838078415
"Canis latrans",-79.658343,43.168649,"gbif",2018-01-08,1802793282
"Canis latrans",-122.253394,37.917522,"gbif",2018-01-06,1883535678
"Canis latrans",-117.20489,32.911718,"gbif",2018-01-12,1838362612
"Canis latrans",-97.827304,30.245153,"gbif",2018-01-04,1802774192
"Canis latrans",-72.54305,42.327972,"gbif",2018-01-19,1831191833
"Canis latrans",-122.502354,37.769855,"gbif",2018-01-06,1802784509
"Canis latrans",-122.744326,38.035909,"gbif",2018-01-21,1806348994
"Canis latrans",-99.283447,34.092291,"gbif",2018-01-27,1836645852
"Canis latrans",-98.391069,33.770785,"gbif",2018-01-09,1805403743
"Canis latrans",-121.751347,38.592455,"gbif",2018-01-23,1847497694
"Canis latrans",-87.681603,41.917666,"gbif",2018-01-16,1805410453
"Canis latrans",-98.391069,33.770785,"gbif",2018-01-07,1805403729
"Canis latrans",-100.515976,33.055559,"gbif",2018-01-07,1806357238
"Canis latrans",-116.416326,33.365568,"gbif",2018-01-26,1806368509
"Canis latrans",-122.580438,38.134042,"gbif",2018-01-26,1806363729
"Canis latrans",-110.960004,32.456752,"gbif",2018-01-08,1805390981
"Canis latrans",-89.439322,43.040433,"gbif",2018-01-27,1806365571
"Canis latrans",-79.442875,43.937102,"gbif",2018-01-31,1807291835
"Canis latrans",-104.610771,38.952349,"gbif",2018-01-16,1805415994
"Canis latrans",-116.32602,33.180913,"gbif",2018-01-26,1806371864
"Canis latrans",-114.405527,51.069125,"gbif",2018-01-17,1805420772
"Canis latrans",-81.563416,41.484022,"gbif",2018-01-08,1802792221
"Canis latrans",-111.058839,32.314042,"gbif",2018-01-23,1807282257
"Canis latrans",-97.059139,32.676956,"gbif",2018-01-22,1806347828
"Canis latrans",-99.062074,33.945553,"gbif",2018-01-20,1836645379
"Canis latrans",-98.029118,29.742551,"gbif",2018-01-01,1802763021
"Canis latrans",-122.453168,37.779136,"gbif",2018-01-09,1805417452
"Canis latrans",-116.367619,33.329566,"gbif",2018-01-27,1806368661
"Canis latrans",-72.522453,42.330556,"gbif",2018-01-11,1883572714
"Canis latrans",-86.56621,34.279775,"gbif",2018-01-20,1831204791
"Canis latrans",-121.773303,36.675145,"gbif",2018-01-22,1806348924
"Canis latrans",-110.960046,32.456742,"gbif",2018-01-11,1805390996
"Canis latrans",-79.442875,43.937102,"gbif",2018-01-31,1807291801
"Canis latrans",-122.912292,38.122674,"gbif",2018-01-11,1805387177
"Canis latrans",-120.3263,39.791589,"gbif",2018-01-27,1806367784
"Canis latrans",-79.899194,43.283056,"gbif",2018-01-07,1802789340
"Canis latrans",-122.280149,37.328058,"gbif",2018-01-21,1806343863
"Canis latrans",-110.940943,32.245415,"gbif",2018-01-14,1805397017
"Canis latrans",-120.019747,41.558363,"gbif",2018-01-27,1847533604
"Canis latrans",-88.417003,31.325438,"gbif",2018-01-22,1836699731
"Canis latrans",-112.23577,41.055764,"gbif",2018-01-02,1802765839
"Canis latrans",-112.214557,40.958085,"gbif",2018-01-27,1831221650
"Canis latrans",-116.950101,33.037294,"gbif",2018-01-04,1838037792
"Canis latrans",-118.379847,33.799558,"gbif",2018-01-13,1806361222
"Canis latrans",-116.641111,32.669798,"gbif",2018-01-11,1806364646
"Canis latrans",-114.39093,34.524673,"gbif",2018-01-09,1802796237
"Canis latrans",-121.312783,38.87273,"gbif",2018-01-16,1805415600
"Canis latrans",-122.056561,36.96585,"gbif",2018-01-31,1807290551
"Canis latrans",-117.11395,32.770997,"gbif",2018-01-22,1806350391
"Canis latrans",-112.124082,25.246971,"gbif",2018-01-05,1802779320
"Canis latrans",-99.278558,34.068809,"gbif",2018-01-25,1836645858
"Canis latrans",-89.531407,43.009366,"gbif",2018-01-23,1883974260
"Canis latrans",-111.083676,32.309066,"gbif",2018-01-08,1802795077
"Canis latrans",-82.184148,41.473745,"gbif",2018-01-24,1806355190
"Canis latrans",-110.9993,32.25393,"gbif",2018-01-28,1806371381
"Canis latrans",-72.721639,44.429665,"gbif",2018-01-18,1807290538
"Canis latrans",-117.113743,32.77111,"gbif",2018-01-02,1802773817
"Canis latrans",-123.195608,49.168405,"gbif",2018-01-28,1806371641
"Canis latrans",-105.156273,39.957775,"gbif",2018-01-19,1806334981
"Canis latrans",-111.02399,32.281674,"gbif",2018-01-22,1806349093
"Canis latrans",-103.079224,29.233684,"gbif",2018-01-18,1807289236
"Canis latrans",-84.231234,39.708686,"gbif",2018-01-01,1807302918
"Canis latrans",-72.522453,42.330556,"gbif",2018-01-11,1883572716
"Canis latrans",-105.217743,39.985836,"gbif",2018-01-03,1802773959
"Canis latrans",-122.474724,37.789722,"gbif",2018-01-15,1805404716
"Canis latrans",-99.228516,34.078643,"gbif",2018-01-24,1836645385
"Canis latrans",-121.284556,36.798198,"gbif",2018-01-17,1805414805
"Canis latrans",-121.27739,36.809521,"gbif",2018-01-23,1806353269
"Canis latrans",-116.935097,33.049285,"gbif",2018-01-28,1806374011
"Canis latrans",-89.28723,43.086809,"gbif",2018-01-24,1831180137
"Canis latrans",-72.54305,42.327972,"gbif",2018-01-06,1831191759
"Canis latrans",-116.327223,33.181709,"gbif",2018-01-18,1805421179
"Canis latrans",-122.881737,38.072285,"gbif",2018-01-18,1805418419
"Canis latrans",-123.194869,49.167833,"gbif",2018-01-09,1805377916
"Canis latrans",-83.552907,41.012028,"gbif",2018-01-09,1802795946
"Canis latrans",-116.644411,32.648862,"gbif",2018-01-03,1806364518
"Canis latrans",-99.261475,34.092291,"gbif",2018-01-28,1836645906
"Canis latrans",-105.155434,39.957939,"gbif",2018-01-19,1806334933
"Canis latrans",-116.16695,34.094422,"gbif",2018-01-05,1802779815
"Canis latrans",-117.27572,33.174222,"gbif",2018-01-11,1805387097
"Canis latrans",-122.47123,37.756405,"gbif",2018-01-12,1805390273
"Canis latrans",-97.865642,27.663448,"gbif",2018-01-24,1806355054
"Canis latrans",-116.44916,32.819268,"gbif",2018-01-27,1807284891
"Canis latrans",-99.250488,34.09684,"gbif",2018-01-29,1836645888
"Canis latrans",-101.967824,22.579759,"gbif",2018-01-13,1831092259
"Canis latrans",-75.848764,45.252439,"gbif",2018-01-03,1802783127
"Canis latrans",-114.827758,36.12232,"gbif",2018-01-18,1807298188
"Canis latrans",-122.279828,37.328809,"gbif",2018-01-21,1806343277
"Canis latrans",-121.141584,36.498451,"gbif",2018-01-03,1837061887
"Canis latrans",-118.585293,34.814729,"gbif",2018-01-25,1806360342
"Canis latrans",-99.28894,34.087742,"gbif",2018-01-21,1836645770
"Canis latrans",-98.390554,33.757371,"gbif",2018-01-16,1806337685
"Canis latrans",-100.151196,25.471793,"gbif",2018-01-17,1807307737
"Canis latrans",-121.15139,36.752738,"gbif",2018-01-23,1806353174
