Easting,Northing
2977580.079,2739550.455
2977237.008,2738314.244
2977647.35,2738300.391
2977482.836,2738374.21
2977906.443,2738399.405
2976937.807,2738579.85
2978217.027,2738514.235
2976789.933,2738612.147
2977125.474,2738664.697
2977181.907,2738740.322
2977531.617,2738721.447
2977123.747,2738765.203
2978441.116,2738796.798
2977725.054,2738876.072
2978019.9,2738921.95
2978761.669,2738910.804
2977327.309,2738678.12
2977029.913,2738722.779
2977837.176,2738896.911
2978000.788,2738933.566
2889969.943,2464105.05
2937591.124,2524550.158
2903553.003,2489177.621
2940178.684,2570780.358
2932356.304,2489672.541
2937591.124,2524550.158
2928645.109,2438716.096
2927133.434,2440546.854
2919604.917,2443901.938
2931821.906,2447297.665
2912286.111,2452551.945
2918860.895,2453814.982
2929708.397,2453839.487
2936713.426,2454193.785
2896531.784,2457028.999
2907477.501,2456901.139
2914872.816,2456747.253
2899321.872,2458970.645
2897226.175,2459164.28
2891684.387,2459529.711
2935885.789,2457659.769
2921830.543,2459601.721
2915030.981,2461942.799
2901202.063,2462830.918
2896610.93,2463226.61
2902944.834,2464894.256
2896877.541,2466420.655
2909963.482,2465847.649
2938842.713,2465245.428
2922376.117,2468987.826
2925028.393,2469132.405
2902499.613,2472302.392
2927107.285,2472937.851
2936067.134,2473550.343
2904309.164,2475164.087
2900217.869,2475549.623
2930943.074,2474707.094
2894095.397,2476827.582
2902489.545,2476601.928
2897700.705,2477102.086
2891608.259,2477429.58
2924102.536,2477449.386
2921514.847,2478003.402
2926023.367,2480858.174
2917972.038,2483076.322
2931038.761,2484052.047
2922751.186,2484525.726
2903575.7,2487877.356
2903505.131,2489278.61
2896513.414,2489625.38
2914687.931,2490943.395
2921948.081,2493890.054
2909944.007,2500691.153
2929050.754,2501238.399
2916570.787,2504400.687
2923082.08,2505013.183
2906205.943,2505968.987
2908633.964,2507317.523
2939252.665,2522765.507
2942962.259,2525635.697
2898944.427,2531369.094
2938930.286,2531119.458
2897644.893,2538446.001
2899863.876,2539348.727
2935868.907,2537582.532
2901063.208,2539323.22
2909603.983,2541291.197
2943998.835,2541457.825
2943403.756,2544019.626
2948148.381,2547250.598
2943901.664,2548607.384
2790657.559,2622197.9
2817341.926,2708980.92
2817742.065,2708972.231
2817444.133,2709078.783
2817257.097,2709683.339
2817059.199,2709787.719
2817261.442,2709883.41
2952097.817,2553087.449
2935666.308,2490202.814
2941290.119,2529269.909
2937591.124,2524550.158
2934269.354,2499828.869
2937591.124,2524550.158
2937639.431,2487052.507
2894212.205,2458477.147
2943365.543,2518729.754
2959494.698,2576739.834
2942442.627,2541141.155
2942155.66,2541747.07
2937591.124,2524550.158
2945382.638,2538379.419
2940884.818,2547772.192
2941690.596,2548054.867
2954038.813,2599061.348
2957143.238,2599002.666
2944304.851,2539402.036
2943718.127,2540014.333
2943539.606,2541017.785
2946371.434,2542556.76
2944900.405,2543887.697
2944806.889,2544189.587
2944209.512,2544302.311
2943718.453,2544712.659
2941910.877,2530256.351
2944132.723,2540705.237
2944640.842,2541094.251
2945688.627,2533974.554
2945540.531,2536876.613
2940363.181,2532688.424
2977237.008,2738314.244
2977647.35,2738300.391
2977482.836,2738374.21
2977906.443,2738399.405
2976937.807,2738579.85
2978217.027,2738514.235
2976789.933,2738612.147
2977125.474,2738664.697
2977181.907,2738740.322
2977531.617,2738721.447
2977123.747,2738765.203
2978441.116,2738796.798
2978019.9,2738921.95
2978761.669,2738910.804
2977280.527,2739083.439
2988360.798,2667828.784
2892358.095,2475514.079
2977327.309,2738678.12
2977029.913,2738722.779
2977837.176,2738896.911
2978000.788,2738933.566
2943359.19,2518430.004
2947668.406,2542125.894
2948100.841,2543694.266
2941184.582,2547765.784
2929806.313,2472931.434
2940847.674,2548372.79
2939061.087,2551310.078
2952545.696,2552448.143
2951765.643,2552714.118
2951873.585,2552805.364
2941130.651,2531172.623
2941630.246,2531161.997
2940441.842,2531687.099
2893702.065,2457987.825
2947034.595,2540843.242
2965995.242,2623340.73
2974447.046,2633269.709
2974671.224,2634755.84
2973483.98,2634955.101
2974496.874,2635071.334
2974314.221,2635287.197
2973417.56,2635361.918
2974231.196,2635494.758
2974347.43,2635685.715
2962474.477,2647308.222
2962283.515,2647424.429
2962408.012,2647715.018
2988677.817,2654758.451
2940314.295,2530390.267
2945193.758,2543581.541
2945201.227,2543931.254
2944017.144,2544656.296
2951790.394,2552411.163
2951898.629,2553104.145
2986942.829,2644769.222
2942041.162,2545748.146
2943442.177,2545818.177
2937728.063,2535693.524
2938532.947,2524180.289
2783740.253,2637727.229
2792186.454,2637553.622
2785367.811,2634290.465
2785404.141,2635990.674
2793921.588,2637560.513
2792262.942,2639351.018
2788722.197,2639365.744
2786797.498,2642286.625
2795346.341,2629375.543
2792095.848,2630744.754
2799309.124,2631230.785
2785331.488,2632590.266
2787068.01,2634254.133
2940581.439,2521787.661
2940535.718,2521988.558
2939859.601,2523102.506
2938783.808,2524224.948
2938389.429,2524483.231
2937840.926,2524544.856
2794056.96,2625599.097
2793451.553,2629011.845
2785689.54,2637967.734
2781424.027,2634454.749
2779276.909,2639569.629
2785658.667,2647892.414
2798759.168,2613650.724
2798938.85,2623510.71
2938428.933,2521633.383
2798409.716,2617056.818
2796289.518,2618875.983
2800103.156,2629389.83
2800509.372,2618631.737
2822989.654,2669430.466
2818942.206,2675221.542
2830123.054,2670777.053
2823457.03,2673923.147
2818764.059,2677626.965
2830909.64,2677063.827
2826771.99,2677753.858
2790887.783,2649241.355
2789282.654,2652224.589
2817556.334,2709636.807
2795169.156,2615371.169
2951691.689,2614201.996
2902688.685,2462200.017
2943321.463,2535474.43
2943437.346,2536221.689
2942767.726,2537635.456
2944782.068,2538342.243
2949304.351,2536522.774
2947921.925,2535585.751
2947851.592,2535942.671
2948382.613,2535697.519
2949158.789,2535983.39
2948718.636,2535518.879
2949465.195,2534854.467
2948996.506,2535244.828
2932515.941,2574744.354
2948103.722,2567410.799
2948747.827,2567147.025
2948205.792,2567508.569
2943244.114,2541224.019
2979428.547,2632854.473
2984443.266,2650897.008
2983056.502,2652316.788
2948123.074,2568310.082
2945924.64,2535668.881
2945739.709,2536372.557
2946593.259,2536554.291
2949294.714,2536646.941
2949396.193,2536744.733
2949147.072,2536799.741
2947871.487,2537876.604
2792605.601,2577436.033
2946318.693,2547106.214
2947451.321,2541634.044
2954690.294,2598455.287
2971134.016,2622410.605
2988702.707,2655057.387
2939294.341,2516241.95
2940448.498,2517402.078
2978241.279,2633053.769
2947005.3,2546491.755
2948085.744,2546503.67
2948546.428,2546615.473
2948617.103,2546860.273
2948073.531,2546956.002
2948376.478,2546980.743
2946454.287,2541755.289
2947370.603,2542535.426
2951848.54,2552506.583
2952554.045,2552547.737
2951890.281,2553004.551
2942642.818,2545835.257
2942957.525,2546528.292
2947573.003,2547329.302
2947481.633,2547731.107
2945630.216,2549969.917
2945193.758,2543581.541
2956116.564,2577122.788
2953734.491,2577422.382
2955714.192,2577708.093
2952854.168,2575891.294
2941378.326,2533416.557
2940783.063,2533629.157
2940684.206,2533681.244
2941039.243,2533923.599
2940618.325,2535282.091
2943325.72,2535674.267
2943430.96,2535921.934
2943483.048,2536020.788
2943984.767,2536110.062
2943987.961,2536259.939
2944038.984,2536308.834
2943991.154,2536409.816
2955054.484,2578214.625
2956162.593,2578272.368
2955369.951,2578388.829
2955278.683,2578496.762
2953167.272,2569446.164
2955527.878,2579077.704
2959544.5,2576735.666
2959444.897,2576744.001
2959503.033,2576839.437
2946533.458,2566444.909
2946583.419,2566443.835
2941747.916,2567047.661
2946094.558,2566954.186
2946349.735,2567198.617
2946065.018,2567904.516
2960557.664,2621888.228
2962603.99,2622369.614
2961491.616,2622863.603
2943292.298,2545821.38
2943543.164,2545866.002
2983600.424,2651619.345
2983459.259,2651731.43
2984190.015,2650867.929
2981536.542,2656958.242
2981270.784,2657381.687
2981794.006,2656435.155
2917632.121,2502578.735
2940254.19,2515306.962
2939222.339,2516618.34
2949804.158,2547262.185
2948336.27,2549491.387
2950892.557,2549477.643
2950801.315,2549585.586
2948796.799,2557977.549
2938442.028,2517534.545
2971134.016,2622410.605
2959936.335,2582018.837
2961746.564,2589357.052
2960685.586,2589779.755
2961000.068,2586343.167
2919189.701,2472948.361
2919189.701,2472948.361
2919189.701,2472948.361
2915039.379,2474319.811
2884799.833,2471742.464
2920761.333,2487366.717
2917648.976,2493880.467
2883050.939,2464609.393
2882897.692,2464932.576
2919359.553,2482497.38
2921403.536,2487003.333
2915479.886,2495325.75
2887870.318,2475123.012
2910413.84,2492132.957
2886820.713,2444432.005
2911612.945,2501605.809
2897445.057,2536100.464
2944328.119,2526406.384
2945527.115,2526380.913
2944929.74,2526493.565
2915672.76,2541281.942
2909795.05,2542047.014
2944919.128,2525993.983
2944280.283,2526507.362
2943801.964,2536913.666
2943465.027,2537520.629
2943173.79,2537926.693
2940127.437,2474115.24
2891436.601,2459634.865
2890937.488,2459675.262
2889911.024,2459936.632
2897151.842,2458955.854
2935564.207,2456616.824
2935970.127,2456908.279
2935930.663,2455009.766
2935765.089,2456662.63
2897619.081,2460265.956
2898372.201,2460420.242
2934317.525,2451944.341
2934733.816,2452735.425
2918108.284,2453680.661
2914708.302,2458450.3
2923246.204,2460372.031
2922958.901,2460977.85
2922469.66,2461487.905
2917602.388,2453391.247
2929750.514,2438993.143
2936729.852,2459791.446
2930121.965,2440035.143
2936319.969,2454501.853
2936729.852,2459791.446
2921336.358,2500451.198
2921087.586,2500506.425
2936937.521,2440893.81
2936394.148,2441204.949
2935860.08,2441965.744
2936633.619,2440700.166
2915716.057,2494670.932
2915377.851,2495227.919
2914980.221,2495336.259
2928663.198,2468456.718
2936403.934,2441194.75
2936693.917,2441198.746
2936737.469,2440887.952
2961521.455,2661783.137
2957384.163,2654854.057
2952682.411,2756210.327
2982027.323,2644777.397
2978963.613,2633294.526
2977469.186,2636428.792
2978008.759,2631467.987
2976854.758,2633269.668
2957179.081,2631899.744
2932842.04,2479465.773
2971051.011,2622618.16
2988677.817,2654758.451
2936319.969,2454501.853
2958928.492,2730374.119
2913630.658,2492965.166
2978166.53,2632157.093
2976713.605,2632779.823
2974673.707,2633702.262
2977018.348,2635352.777
2958304.95,2731328.746
2977501.492,2632001.857
2972284.291,2634402.994
2977253.301,2634440.321
2977161.981,2635150.192
2977018.348,2635352.777
2976713.605,2632779.823
2976920.375,2635019.844
2968983.258,2622639.138
2847781.492,2686803.328
2847770.595,2686303.264
2988677.817,2654758.451
2982441.859,2654575.255
2953176.656,2552796.429
2982425.27,2654375.972
2937591.124,2524550.158
2981782.481,2638226.325
2987539.935,2657963.601
2986942.061,2658013.366
2888434.283,2469096.697
2988213.014,2651586.422
2959069.333,2730864.209
2958156.559,2702242.821
2936308.779,2496986.897
2959739.709,2639761.491
2966476.842,2625507.463
2935705.051,2496799.675
2936306.676,2496886.977
2936111.042,2497091.024
2978864.735,2697137.919
2936194.139,2496289.558
2986109.963,2877835.504
2985362.286,2883066.554
2979042.511,2634241.026
2988079.947,2654808.23
2987602.463,2655098.822
2977124.59,2640119.328
2988160.51,2654570.75
2988273.429,2654721.886
2977124.59,2640119.328
