Localidad	Rep1	Rep2	Rep3	Rep4	Rep5	Rep6	Rep7	Rep8	Rep9	Rep10	Rep11	Rep12	Rep13	Rep14	Rep15	Rep16	Rep17	Rep18	Rep19	Rep20
LiborinaP1	24.24980645	24.26777419	23.57641935	26.46664516	24.28629032	24.69548387	24.41245161	27.49406452	22.1416129	22.93935484	26.80912903	25.99541935	30.54629032	28.18732258	32.14029032	27.32596774	31.07177419	27.90419355	30.32377419	29.31822581
LiborinaP2	25.49880645	24.653	23.82316129	25.95432258	24.76793548	24.18703226	25.92380645	27.05990323	22.70258065	23.03767742	29.47080645	25.84141935	31.24458065	27.62119355	30.92245161	26.34848387	29.67725806	27.5226129	29.65354839	29.47080645
LiborinaP3	25.53045161	25.40922581	23.45216129	23.99170968	24.28390323	23.73390323	25.89712903	26.34612903	22.30364516	22.35554839	31.34525806	25.95225806	27.82232258	28.47903226	29.11774194	27.74816129	30.74032258	28.22403226	30.58032258	28.25835484
LiborinaP4	24.96370968	23.89593548	23.65803226	24.92103226	24.49329032	23.82990323	25.4236129	26.50054839	22.18032258	22.66232258	31.00157895	26.79	33.50157143	27.93842857	32.75928571	26.52114286	28.91642857	26.84585714	37.18671429	28.41185714
LiborinaP5	25.14977419	24.19316129	24.63548387	26.89490323	24.5783871	24.18767742	25.06480645	28.0366129	22.11529032	23.62612903	29.34312903	27.63354839	33.82319355	27.8213871	33.45551613	25.94029032	29.53422581	27.77916129	36.89341935	28.61254839
OrobajoP1	22.76722581	36.06022581	24.61019355	34.38777419	23.08180645	28.03158065	24.69387097	34.21035484	24.13754839	31.27470968	29.23919355	26.91583871	36.80387097	25.38848387	33.87990323	28.37422581	36.50574194	25.77777419	31.22864516	34.54074194
OrobajoP2	25.61132258	31.66067742	25.28822581	29.23322581	22.5013871	24.74958065	25.41967742	30.18974194	24.75322581	28.81996774	26.8143871	26.72929032	37.122	24.17216129	30.70535484	28.44925806	34.14383871	25.69167742	29.93851613	32.03016129
OrobajoP3	23.92406452	27.70532258	25.36790323	24.811	22.30835484	22.98967742	24.51441935	26.3473871	23.91541935	25.08658065	28.22919355	26.8493871	27.27519355	25.86583871	27.43903226	29.23658065	29.99067742	26.18170968	32.33909677	28.06525806
OrobajoP4	23.93190323	28.51096774	24.62248387	28.51216129	22.41080645	23.45922581	24.21012903	26.82090323	23.42964516	27.97093548	29.00180645	26.34687097	27.92706452	24.80003226	31.674	27.80219355	29.03009677	25.23735484	25.93641935	26.79651613
OrobajoP5	25.01558065	32.05412903	24.98183871	26.97683871	22.6453871	24.67712903	24.47087097	29.34487097	23.30167742	29.42564516	35.64680645	27.87990323	32.41554839	24.66567742	35.67216129	27.74419355	30.705	25.03812903	27.11458065	26.33583871
PescaderoP1	23.77045161	26.26035484	20.71187097	28.13470732	21.54151613	26.71622581	23.76441935	29.52096774	21.94806452	29.41025806	24.09112903	32.97025806	23.62164516	25.0583871	29.1096129	31.84670968	21.05403226	33.82590323	31.25741935	33.194
PescaderoP2	23.76587097	25.38445161	20.868	25.02725806	21.28474194	24.03454839	22.83209677	27.10016129	22.18045161	24.92096774	23.57577419	30.96245161	23.88687097	26.24464516	19.90377419	29.11287097	20.96167742	30.46425806	21.06783871	27.03977419
PescaderoP3	25.94425806	25.25145161	23.19580645	27.40451613	22.52858065	25.52093548	26.82164516	28.436	23.94606452	27.46083871	23.34025806	21.72848387	24.08412903	25.37896774	19.92835484	20.89125806	33.58212903	35.00764516	21.3193871	29.114
PescaderoP4	24.79135484	26.47316129	21.25025806	29.10558065	21.40283871	28.16274194	25.64712903	30.97696774	21.35251613	29.33558065	23.87287097	30.77093548	23.21341935	25.29058065	19.86312903	24.92329032	20.29551613	36.12006452	20.95729032	21.69267742
PescaderoP5	25.55958065	25.10851613	22.18116129	26.21241935	21.39725806	24.8446129	23.59287097	27.34106452	24.18096774	33.29629032	22.51390323	30.72209677	24.48877419	25.78958065	22.77512903	24.93787097	22.15787097	34.31725806	23.3873871	24.39419355
SanjuanP1	18.57983871	19.6526129	18.94232258	17.97358065	17.68064516	19.73870968	16.44016129	16.2246129	18.1056129	18.30687097	19.95983871	21.0326129	20.32232258	19.35358065	19.06064516	21.11870968	17.82016129	17.6046129	19.4856129	19.68687097
SanjuanP2	18.43564516	19.02529032	19.95645161	18.76570968	18.67051613	19.89183871	19.06606452	17.34612903	19.58345161	18.49619355	19.81564516	20.40529032	21.33645161	20.14570968	20.05051613	21.27183871	20.44606452	18.72612903	20.96345161	19.87619355
SanjuanP3	17.66364516	19.65787097	17.83632258	17.42583871	19.688	19.37134615	20.17380645	15.4086129	17.67745161	17.59080645	19.04364516	21.03787097	19.21632258	18.80583871	21.068	20.75134615	21.55380645	16.7886129	19.05745161	18.97080645
SanjuanP4	17.74014286	20.41214286	16.77557143	16.41914286	20.05728571	19.24	20.43571429	14.73242857	15.76985714	16.74857143	19.12014286	21.79214286	18.15557143	17.79914286	21.43728571	20.62	21.81571429	16.11242857	17.14985714	18.12857143
SanjuanP5	18.04264516	28.17796774	19.12348387	16.60822581	19.60322581	19.61322581	19.674	14.79248387	18.96922581	16.66641935	19.42264516	29.55796774	20.50348387	17.98822581	20.98322581	20.99322581	21.054	16.17248387	20.34922581	18.04641935
SantafeP1	25.64277419	29.41196774	21.94509677	26.50070968	22.79790323	27.52103226	23.71919355	26.13258065	24.10793548	28.08690323	25.013	30.66845161	24.91858065	26.81712903	25.86177419	30.67632258	25.25212903	29.22303226	24.32532258	26.96654839
SantafeP2	25.38609677	31.44858065	22.45477419	28.03219355	23.14809677	29.05158065	23.20412903	26.42354839	24.18232258	26.32519355	26.15606452	28.73645161	24.58012903	26.55170968	24.47409677	32.88654839	24.96893548	30.64593548	23.72158065	27.92335484
SantafeP3	26.12664516	27.10667742	23.01325806	27.14445161	24.09835484	25.31425806	24.44283871	28.23858065	24.11148387	25.91487097	25.24964516	27.17819355	25.02396774	26.18903226	26.46858065	28.77197561	26.24235484	26.92635484	25.04796774	26.54793548
SantafeP4	22.98193548	27.63287097	22.11606452	28.59632258	22.65606452	26.86680645	23.12283871	23.78051613	23.82319355	24.47729032	25.79014286	25.34357143	24.68785714	31.09985714	26.853	34.71257143	27.45742857	30.48285714	24.35342857	28.91785714
SantafeP5	24.43290323	30.84841935	24.59677419	30.91687097	23.26529032	29.83277419	23.82703226	26.675	24.43354839	26.8896129	24.54925806	30.41248387	24.81251613	29.34883871	24.89754839	32.46725806	24.42651613	29.30677419	23.84383871	28.01680645
TicuitaP1	23.96854839	27.24219355	20.16029032	21.98358065	20.8856129	22.61054839	20.82109677	23.13758065	21.56822581	23.76816129	25.36116129	25.86332258	21.70774194	25.89987097	21.843	24.16129032	21.3296129	23.71764516	22.14470968	24.36858065
TicuitaP2	25.61077419	25.89725806	20.76812903	21.36335484	20.83635484	21.54067742	20.41829032	21.67141935	20.94096774	22.99754839	25.06706452	23.17703226	21.46735484	23.30896774	21.55222581	22.9796129	20.52725806	22.13322581	21.82832258	23.18012903
TicuitaP3	25.55683871	26.18229032	21.54351613	22.39796774	22.17954839	23.689	21.24403226	21.91419355	21.6313871	22.93806452	22.53654839	21.57829032	21.35883871	22.52246341	20.83867742	21.0586129	19.70187097	20.4	21.06406452	21.39032258
TicuitaP4	26.58109677	23.73877419	21.81903226	24.63932258	22.52306452	25.13596774	22.04532258	25.65787097	26.77129032	21.72154839	21.97985714	22.74957143	19.56571429	21.24642857	19.90885714	20.58242857	18.96771429	20.06871429	20.16728571	20.64714286
TicuitaP5	27.24345161	22.99509677	22.30687097	24.50435484	23.20025806	25.81148387	22.47119355	25.77467742	23.963	26.43983871	22.14396774	23.43667742	20.82664516	24.19090323	20.77419355	21.01641935	20.18506452	22.98316129	20.918	22.39709677
ValdiviaP1	25.45745161	26.29387097	23.14683871	25.57319355	24.01825806	27.20406452	23.96329032	27.93145161	23.09419355	23.21264516	28.57180645	31.85270968	23.56119355	28.96725806	23.15612903	25.32264516	22.06196774	30.84654839	23.112	35.42403226
ValdiviaP2	25.62670968	27.97325806	25.18829032	24.55745161	25.25996774	24.5933871	25.01135484	24.2903871	30.15416129	29.61419355	27.39470968	30.20067742	23.40541935	25.59722581	22.309	23.71383871	22.05690323	30.21709677	23.04077419	30.96129032
ValdiviaP3	25.23435484	24.90767742	23.20722581	23.44370968	23.75016129	24.45380645	23.86629032	24.13767742	22.93470968	23.25212903	25.42132258	25.41545161	23.7246129	23.85577419	22.93093548	23.03845161	23.22222581	25.37732258	23.33187097	25.8756129
ValdiviaP4	25.261	24.77428571	23.23542857	24.11885714	23.68557143	24.95757143	23.737	24.32228571	22.30442857	24.47071429	26.20867742	26.90322581	24.03916129	25.50187097	23.2663871	24.79483871	22.40383871	26.91277419	23.22270968	27.94664516
ValdiviaP5	27.23890323	25.33183871	23.77751613	25.62170968	24.90619355	26.22770968	24.15725806	28.04696774	24.37287097	27.92977419	26.20867742	26.90322581	24.03916129	25.50187097	23.2663871	24.79483871	22.40383871	26.91277419	23.22270968	27.94664516
